nbh_name,nbh_code,dist_ka,always_excluded,uniqueid,ur,excluded
South B,101,10.48585,,154774,.31320018,1
South C,102,9.7029266,,154774,.55597913,1
Langata,103,7.5160408,,154774,.93828511,1
Westlands,104,7.18256,,154774,.7363221,1
Kileleshwa,105,4.0238171,,154774,.19240755,0
Ongata Rongai,106,13.29897,,154774,.19514006,0
Ngong,107,11.48542,,154774,.9509598,1
Karen,108,6.8866038,,154774,.29044542,1
Nakumatt Junction,109,2.213841,,154774,.81908238,1
Lavington,110,1.9570071,,154774,.48820964,1
Yaya Center,111,4.3688922,,154774,.27048662,1
Industrial area,112,12.33165,,154774,.58597064,1
Nyayo Stadium,113,8.4842806,,154774,.053903509,0
Umoja,114,15.97778,1,154774,.55831921,1
Dandora,115,17.66058,1,154774,.63954675,1
Prestige,116,4.5051332,,154774,.97476894,1
Athi river,117,32.232121,1,154774,.85099763,1
Kariobangi,118,15.54692,1,154774,.59397823,1
Woodley,119,3.963275,,154774,.32503471,1
Kasarani,120,19.54389,1,154774,.83745724,1
Mlolongo,121,26.496611,1,154774,.10096218,1
Upperhill,122,7.5210819,,154774,.80240798,1
Jamhuri Estate,123,2.897341,,154774,.17953202,0
Ngummo,124,6.5012379,,154774,.042161096,0
CBD,125,9.981698,,154774,.5735938,1
Syokimau,126,21.52162,1,154774,.88308197,1
Golf course estate,127,5.4355769,1,154774,.71875381,1
Imara Daima,128,15.30609,1,154774,.28666803,1
Embakasi,129,17.030069,1,154774,.0014044944,1
JKIA,130,20.80258,1,154774,.9402411,1
Jamhuri/Ngong forest,131,3.946743,1,154774,.51522183,1
Kilimani,132,5.1528668,,154774,.85336095,1
Makadara,133,13.11601,,154774,.62263644,1
Makongeni/kaloleni,134,10.87289,,154774,.91116482,1
Kawangware,135,1.102172,1,154774,.44682878,1
Mathare,137,12.90981,,154774,.71465558,1
Mutuini,138,4.212841,1,154774,.69068033,1
Loresho,139,3.2051589,,154774,.027242303,0
Kibera,140,5.1540589,1,154774,.059608705,1
Nairobi National Park,141,15.3189,1,154774,.39076278,1
Kiserian,142,16.455379,1,154774,.2343131,1
Kitisuru,143,7.7834711,,154774,.011996154,0
Githurai,144,20.101919,1,154774,.54266089,1
Kahawa,145,21.95302,1,154774,.17933066,1
Mwiki,146,21.58477,1,154774,.27217507,1
Donholm,147,16.326929,1,154774,.14773844,1
Spring Valley,148,4.9153838,,154774,.63646972,1
Muthaiga,149,11.09676,,154774,.11603712,0
Karura Forest,150,9.1649675,1,154774,.41643316,1
Kariobangi North,151,15.18263,1,154774,.87008542,1
Kariobangi South,152,15.76096,1,154774,.39833164,1
Ruaraka,153,15.69644,1,154774,.77967101,1
Wilson,154,7.9595151,,154774,.94011211,1
Bomas,155,5.8734679,,154774,.0060124728,0
Mugumoini,156,6.110126,,154774,.59292769,1
Langata,157,9.1848745,,154774,.645037,1
GPO,158,7.5143542,,154774,.93782192,1
River road,159,8.3448696,,154774,.66141224,1
Kamkunji,160,9.8535252,,154774,.41348726,1
Ngara,161,8.3098402,,154774,.86786783,1
Eastleigh,162,11.20644,,154774,.5261032,1
City Square,163,8.2906084,,154774,.84097379,1
Makina,164,4.9382,1,154774,.55732155,1
Olympic,165,4.6379561,,154774,.11897121,0
Laini saba,166,6.0931458,1,154774,.39385882,1
Uthiru,167,5.799017,,154774,.33334908,1
Kangemi,168,1.574585,1,154774,.12644169,1
Kikuyu,169,9.5799513,,154774,.95372295,1
Kenyatta,170,6.9733181,,154774,.3459006,1
Komarock,171,17.74538,1,154774,.54584056,1
Kayole,172,18.665649,1,154774,.48240751,1
Ngong road,173,2.837245,,154774,.54438812,1
Hurlingham,174,5.4705768,,154774,.23483676,0
South B,101,10.48585,,156182,.13162762,0
South C,102,9.7029266,,156182,.79908133,1
Langata,103,7.5160408,,156182,.62649637,1
Westlands,104,7.18256,,156182,.46070185,1
Kileleshwa,105,4.0238171,,156182,.30877972,1
Ongata Rongai,106,13.29897,,156182,.30324486,1
Ngong,107,11.48542,,156182,.39026612,1
Karen,108,6.8866038,,156182,.30364096,1
Nakumatt Junction,109,2.213841,,156182,.37504682,1
Lavington,110,1.9570071,,156182,.75152338,1
Yaya Center,111,4.3688922,,156182,.61347014,1
Industrial area,112,12.33165,,156182,.65243274,1
Nyayo Stadium,113,8.4842806,,156182,.79682487,1
Umoja,114,15.97778,1,156182,.45607939,1
Dandora,115,17.66058,1,156182,.077301845,1
Prestige,116,4.5051332,,156182,.11612563,0
Athi river,117,32.232121,1,156182,.31540832,1
Kariobangi,118,15.54692,1,156182,.63373709,1
Woodley,119,3.963275,,156182,.19218615,0
Kasarani,120,19.54389,1,156182,.29854095,1
Mlolongo,121,26.496611,1,156182,.55684561,1
Upperhill,122,7.5210819,,156182,.88401675,1
Jamhuri Estate,123,2.897341,,156182,.39285702,1
Ngummo,124,6.5012379,,156182,.80063879,1
CBD,125,9.981698,,156182,.14878874,0
Syokimau,126,21.52162,1,156182,.81672019,1
Golf course estate,127,5.4355769,1,156182,.68189043,1
Imara Daima,128,15.30609,1,156182,.77553445,1
Embakasi,129,17.030069,1,156182,.71861154,1
JKIA,130,20.80258,1,156182,.81235725,1
Jamhuri/Ngong forest,131,3.946743,1,156182,.93499845,1
Kilimani,132,5.1528668,,156182,.90108675,1
Makadara,133,13.11601,,156182,.98936921,1
Makongeni/kaloleni,134,10.87289,,156182,.23301381,0
Kawangware,135,1.102172,1,156182,.27812549,1
Mathare,137,12.90981,,156182,.0060141697,0
Mutuini,138,4.212841,1,156182,.70683938,1
Loresho,139,3.2051589,,156182,.34712639,1
Kibera,140,5.1540589,1,156182,.92581367,1
Nairobi National Park,141,15.3189,1,156182,.81435353,1
Kiserian,142,16.455379,1,156182,.25975776,1
Kitisuru,143,7.7834711,,156182,.049120422,0
Githurai,144,20.101919,1,156182,.56128144,1
Kahawa,145,21.95302,1,156182,.30562562,1
Mwiki,146,21.58477,1,156182,.79078078,1
Donholm,147,16.326929,1,156182,.77146244,1
Spring Valley,148,4.9153838,,156182,.45805269,1
Muthaiga,149,11.09676,,156182,.23573431,0
Karura Forest,150,9.1649675,1,156182,.1646733,1
Kariobangi North,151,15.18263,1,156182,.1966282,1
Kariobangi South,152,15.76096,1,156182,.11507464,1
Ruaraka,153,15.69644,1,156182,.74895144,1
Wilson,154,7.9595151,,156182,.93643099,1
Bomas,155,5.8734679,,156182,.84232217,1
Mugumoini,156,6.110126,,156182,.89861965,1
Langata,157,9.1848745,,156182,.65747058,1
GPO,158,7.5143542,,156182,.30537203,1
River road,159,8.3448696,,156182,.47386542,1
Kamkunji,160,9.8535252,,156182,.10336184,0
Ngara,161,8.3098402,,156182,.95147723,1
Eastleigh,162,11.20644,,156182,.4698002,1
City Square,163,8.2906084,,156182,.91064709,1
Makina,164,4.9382,1,156182,.61178058,1
Olympic,165,4.6379561,,156182,.86479068,1
Laini saba,166,6.0931458,1,156182,.8394956,1
Uthiru,167,5.799017,,156182,.72536737,1
Kangemi,168,1.574585,1,156182,.93997198,1
Kikuyu,169,9.5799513,,156182,.8567127,1
Kenyatta,170,6.9733181,,156182,.31962371,1
Komarock,171,17.74538,1,156182,.47217527,1
Kayole,172,18.665649,1,156182,.28609225,1
Ngong road,173,2.837245,,156182,.81318283,1
Hurlingham,174,5.4705768,,156182,.22216679,0
South B,101,10.48585,,156307,.45096219,1
South C,102,9.7029266,,156307,.46700162,1
Langata,103,7.5160408,,156307,.58017933,1
Westlands,104,7.18256,,156307,.95008326,1
Kileleshwa,105,4.0238171,,156307,.82295519,1
Ongata Rongai,106,13.29897,,156307,.21849677,0
Ngong,107,11.48542,,156307,.51497161,1
Karen,108,6.8866038,,156307,.65475452,1
Nakumatt Junction,109,2.213841,,156307,.90930945,1
Lavington,110,1.9570071,,156307,.66362572,1
Yaya Center,111,4.3688922,,156307,.7632392,1
Industrial area,112,12.33165,,156307,.60873967,1
Nyayo Stadium,113,8.4842806,,156307,.9993121,1
Umoja,114,15.97778,1,156307,.0010185494,1
Dandora,115,17.66058,1,156307,.6711365,1
Prestige,116,4.5051332,,156307,.045348868,0
Athi river,117,32.232121,1,156307,.87949389,1
Kariobangi,118,15.54692,1,156307,.44351941,1
Woodley,119,3.963275,,156307,.85389781,1
Kasarani,120,19.54389,1,156307,.61783475,1
Mlolongo,121,26.496611,1,156307,.74381733,1
Upperhill,122,7.5210819,,156307,.44251984,1
Jamhuri Estate,123,2.897341,,156307,.80804724,1
Ngummo,124,6.5012379,,156307,.31665355,1
CBD,125,9.981698,,156307,.47745091,1
Syokimau,126,21.52162,1,156307,.25611219,1
Golf course estate,127,5.4355769,1,156307,.92056268,1
Imara Daima,128,15.30609,1,156307,.87596643,1
Embakasi,129,17.030069,1,156307,.46545446,1
JKIA,130,20.80258,1,156307,.25967556,1
Jamhuri/Ngong forest,131,3.946743,1,156307,.73614144,1
Kilimani,132,5.1528668,,156307,.46821123,1
Makadara,133,13.11601,,156307,.20939185,0
Makongeni/kaloleni,134,10.87289,,156307,.99774373,1
Kawangware,135,1.102172,1,156307,.62811404,1
Mathare,137,12.90981,,156307,.38825861,1
Mutuini,138,4.212841,1,156307,.14468507,1
Loresho,139,3.2051589,,156307,.44833028,1
Kibera,140,5.1540589,1,156307,.058088098,1
Nairobi National Park,141,15.3189,1,156307,.94584543,1
Kiserian,142,16.455379,1,156307,.14800958,1
Kitisuru,143,7.7834711,,156307,.67877913,1
Githurai,144,20.101919,1,156307,.91548264,1
Kahawa,145,21.95302,1,156307,.7669903,1
Mwiki,146,21.58477,1,156307,.97646683,1
Donholm,147,16.326929,1,156307,.6751985,1
Spring Valley,148,4.9153838,,156307,.67164689,1
Muthaiga,149,11.09676,,156307,.68095815,1
Karura Forest,150,9.1649675,1,156307,.94079995,1
Kariobangi North,151,15.18263,1,156307,.38318583,1
Kariobangi South,152,15.76096,1,156307,.73579317,1
Ruaraka,153,15.69644,1,156307,.55711323,1
Wilson,154,7.9595151,,156307,.7268889,1
Bomas,155,5.8734679,,156307,.90259778,1
Mugumoini,156,6.110126,,156307,.40111369,1
Langata,157,9.1848745,,156307,.41642645,1
GPO,158,7.5143542,,156307,.12022279,0
River road,159,8.3448696,,156307,.81326675,1
Kamkunji,160,9.8535252,,156307,.35743779,1
Ngara,161,8.3098402,,156307,.37301674,1
Eastleigh,162,11.20644,,156307,.76150167,1
City Square,163,8.2906084,,156307,.16210306,0
Makina,164,4.9382,1,156307,.73722142,1
Olympic,165,4.6379561,,156307,.82069784,1
Laini saba,166,6.0931458,1,156307,.4982866,1
Uthiru,167,5.799017,,156307,.12725423,0
Kangemi,168,1.574585,1,156307,.45051298,1
Kikuyu,169,9.5799513,,156307,.64979154,1
Kenyatta,170,6.9733181,,156307,.16701066,0
Komarock,171,17.74538,1,156307,.95651984,1
Kayole,172,18.665649,1,156307,.092528544,1
Ngong road,173,2.837245,,156307,.88936716,1
Hurlingham,174,5.4705768,,156307,.48369488,1
South B,101,10.48585,,156311,.30242896,1
South C,102,9.7029266,,156311,.13338296,0
Langata,103,7.5160408,,156311,.80490112,1
Westlands,104,7.18256,,156311,.68405682,1
Kileleshwa,105,4.0238171,,156311,.82466745,1
Ongata Rongai,106,13.29897,,156311,.68519032,1
Ngong,107,11.48542,,156311,.85453421,1
Karen,108,6.8866038,,156311,.3705759,1
Nakumatt Junction,109,2.213841,,156311,.47221053,1
Lavington,110,1.9570071,,156311,.29618573,1
Yaya Center,111,4.3688922,,156311,.13861316,0
Industrial area,112,12.33165,,156311,.16507685,0
Nyayo Stadium,113,8.4842806,,156311,.57379973,1
Umoja,114,15.97778,1,156311,.59544307,1
Dandora,115,17.66058,1,156311,.17355432,1
Prestige,116,4.5051332,,156311,.68047351,1
Athi river,117,32.232121,1,156311,.84384084,1
Kariobangi,118,15.54692,1,156311,.85312533,1
Woodley,119,3.963275,,156311,.98198432,1
Kasarani,120,19.54389,1,156311,.22642446,1
Mlolongo,121,26.496611,1,156311,.16175424,1
Upperhill,122,7.5210819,,156311,.83945191,1
